0-20,20-30,30-40,40-50,50-60 ,60-65,65-70,70-75,75-80,80-inf,total
0.428571429,2.142857143,3,6.428571429,14.714285715,11.42857143,9,9.285714286,9.142857143,17.571428572,83.142857147
0.428571429,2.142857143,3,6.428571429,14.714285715,11.42857143,9,9.285714286,9.142857143,17.571428572,83.142857147
0.428571429,2.142857143,3,6.428571429,14.714285715,11.42857143,9,9.285714286,9.142857143,17.571428572,83.142857147
0.428571429,2.142857143,3,6.428571429,14.714285715,11.42857143,9,9.285714286,9.142857143,17.571428572,83.142857147
0.428571429,2.142857143,3,6.428571429,14.714285715,11.42857143,9,9.285714286,9.142857143,17.571428572,83.142857147
0.428571429,2.142857143,3,6.428571429,14.714285715,11.42857143,9,9.285714286,9.142857143,17.571428572,83.142857147
0.428571429,2.142857143,3,6.428571429,14.714285715,11.42857143,9,9.285714286,9.142857143,17.571428572,83.142857147
0,1.428571429,1.571428571,4.428571429,11.142857143,6.142857143,4.571428571,6.428571429,7.285714286,12.714285715,55.714285716
0,1.428571429,1.571428571,4.428571429,11.142857143,6.142857143,4.571428571,6.428571429,7.285714286,12.714285715,55.714285716
0,1.428571429,1.571428571,4.428571429,11.142857143,6.142857143,4.571428571,6.428571429,7.285714286,12.714285715,55.714285716
0,1.428571429,1.571428571,4.428571429,11.142857143,6.142857143,4.571428571,6.428571429,7.285714286,12.714285715,55.714285716
0,1.428571429,1.571428571,4.428571429,11.142857143,6.142857143,4.571428571,6.428571429,7.285714286,12.714285715,55.714285716
0,1.428571429,1.571428571,4.428571429,11.142857143,6.142857143,4.571428571,6.428571429,7.285714286,12.714285715,55.714285716
0,1.428571429,1.571428571,4.428571429,11.142857143,6.142857143,4.571428571,6.428571429,7.285714286,12.714285715,55.714285716
0.857142857,0.714285715,2.285714286,3.285714285,7.857142857,4.714285714,3.571428571,4,3.714285714,10.857142857,41.857142856
0.857142857,0.714285715,2.285714286,3.285714285,7.857142857,4.714285714,3.571428571,4,3.714285714,10.857142857,41.857142856
0.857142857,0.714285715,2.285714286,3.285714285,7.857142857,4.714285714,3.571428571,4,3.714285714,10.857142857,41.857142856
0.857142857,0.714285715,2.285714286,3.285714285,7.857142857,4.714285714,3.571428571,4,3.714285714,10.857142857,41.857142856
0.857142857,0.714285715,2.285714286,3.285714285,7.857142857,4.714285714,3.571428571,4,3.714285714,10.857142857,41.857142856
0.857142857,0.714285715,2.285714286,3.285714285,7.857142857,4.714285714,3.571428571,4,3.714285714,10.857142857,41.857142856
0.857142857,0.714285715,2.285714286,3.285714285,7.857142857,4.714285714,3.571428571,4,3.714285714,10.857142857,41.857142856
0.285714286,0.714285715,1.142857143,2,5,3.428571429,2.142857143,3.142857143,3.428571429,7.999999999,29.285714287
0.285714286,0.714285715,1.142857143,2,5,3.428571429,2.142857143,3.142857143,3.428571429,7.999999999,29.285714287
0.285714286,0.714285715,1.142857143,2,5,3.428571429,2.142857143,3.142857143,3.428571429,7.999999999,29.285714287
0.285714286,0.714285715,1.142857143,2,5,3.428571429,2.142857143,3.142857143,3.428571429,7.999999999,29.285714287
0.285714286,0.714285715,1.142857143,2,5,3.428571429,2.142857143,3.142857143,3.428571429,7.999999999,29.285714287
0.285714286,0.714285715,1.142857143,2,5,3.428571429,2.142857143,3.142857143,3.428571429,7.999999999,29.285714287
0.285714286,0.714285715,1.142857143,2,5,3.428571429,2.142857143,3.142857143,3.428571429,7.999999999,29.285714287
0.571428572,0.428571429,0.857142858,1.428571429,2.714285715,2.571428571,1.285714286,3.428571429,2.285714286,5.714285714,21.285714289
0.571428572,0.428571429,0.857142858,1.428571429,2.714285715,2.571428571,1.285714286,3.428571429,2.285714286,5.714285714,21.285714289
0.571428572,0.428571429,0.857142858,1.428571429,2.714285715,2.571428571,1.285714286,3.428571429,2.285714286,5.714285714,21.285714289
0.571428572,0.428571429,0.857142858,1.428571429,2.714285715,2.571428571,1.285714286,3.428571429,2.285714286,5.714285714,21.285714289
0.571428572,0.428571429,0.857142858,1.428571429,2.714285715,2.571428571,1.285714286,3.428571429,2.285714286,5.714285714,21.285714289
0.571428572,0.428571429,0.857142858,1.428571429,2.714285715,2.571428571,1.285714286,3.428571429,2.285714286,5.714285714,21.285714289
0.571428572,0.428571429,0.857142858,1.428571429,2.714285715,2.571428571,1.285714286,3.428571429,2.285714286,5.714285714,21.285714289
0,0.571428572,0.714285715,1.571428572,3.428571429,2,1.857142857,2.142857143,3,4.285714286,19.571428574
0,0.571428572,0.714285715,1.571428572,3.428571429,2,1.857142857,2.142857143,3,4.285714286,19.571428574
