NbCI,Method,Parametre_method_1,Parametre_method_2,fct_obj,nbr_evaluation,nbr_evaluation_aborted,temps,temps_CPU,delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0
81,MCMC,Gibbs,/,27936506145.102817535400391,17699,0,1.349853425000000,1.346114567000000,0.755275927453036,0.047933013190827,0.436580250223419,0.248703429767626,0.000044160809546,0.031537689007981,0.014112685782222,0.047529934180796,0.052650106326708,0.071958080916167,0.045661915584094,0.032063609779858
81,MCMC,Gibbs,/,27936491813.873893737792969,17729,0,1.352243787000000,1.348501062000000,0.755275434110020,0.047933013190827,0.436580250223419,0.248701164174977,0.000044164047913,0.031541262962938,0.014112685782222,0.047533009348320,0.052650106326708,0.071960544759515,0.045665274893988,0.032063609779858
81,MCMC,Gibbs,/,27936487801.082363128662109,17759,0,1.354480252000000,1.350734922000000,0.755275434110020,0.047929294047233,0.436583430249078,0.248701164174977,0.000044164619710,0.031542208533717,0.014116340601730,0.047532622644499,0.052654691938622,0.071968074339805,0.045665274893988,0.032063609779858
81,MCMC,Gibbs,/,27936485603.099437713623047,17789,0,1.356628311000000,1.352881839000000,0.755274620833843,0.047927263718456,0.436594871142909,0.248696272384445,0.000044164619710,0.031542517929145,0.014117605937694,0.047533436734401,0.052654691938622,0.071968074339805,0.045673379454677,0.032065664164758
81,MCMC,Gibbs,/,27936483845.475379943847656,17819,0,1.358741465000000,1.354994792000000,0.755264450840563,0.047927263718456,0.436601758516829,0.248694159641709,0.000044164619710,0.031542517929145,0.014118700208882,0.047534478036366,0.052654691938622,0.071969491830386,0.045674479215414,0.032066707833853
81,MCMC,Gibbs,/,27936482572.072410583496094,17849,0,1.360867252000000,1.357120580000000,0.755262226876297,0.047926273153724,0.436605173230070,0.248686574447273,0.000044164619710,0.031542517929145,0.014118700208882,0.047536527689512,0.052655882851773,0.071970248276818,0.045682418606490,0.032066707833853
81,MCMC,Gibbs,/,27936476481.985008239746094,17879,0,1.362931705000000,1.359185033000000,0.755262226876297,0.047926273153724,0.436609730550843,0.248686574447273,0.000044165355678,0.031544201195095,0.014122928842040,0.047536527689512,0.052657782628970,0.071978394200162,0.045687633920213,0.032071989139591
81,MCMC,Gibbs,/,27936473395.618938446044922,17909,0,1.365013199000000,1.361269944000000,0.755255478324491,0.047926273153724,0.436609730550843,0.248686574447273,0.000044166408559,0.031544282361793,0.014129334519907,0.047549095116218,0.052657782628970,0.071988262075162,0.045688751219192,0.032074145590167
81,MCMC,Gibbs,/,27936451754.828777313232422,17939,0,1.367659451000000,1.363919221000000,0.755255478324491,0.047926273153724,0.436619253845774,0.248672277270613,0.000044166408559,0.031551874765619,0.014133933511706,0.047549229802572,0.052662694926750,0.071989592303491,0.045692435326337,0.032074145590167
81,MCMC,Gibbs,/,27936442090.659587860107422,17969,0,1.370064631000000,1.366335341000000,0.755249993778134,0.047922275275376,0.436619253845774,0.248672277270613,0.000044167347051,0.031554580470959,0.014139747814330,0.047551278104640,0.052662694926750,0.071989592303491,0.045695918969903,0.032082223993136
81,MCMC,Gibbs,/,27936416332.380596160888672,17999,0,1.372435036000000,1.368688524000000,0.755249993778134,0.047919702660851,0.436619253845774,0.248672277270613,0.000044168488374,0.031563771221818,0.014139747814330,0.047561716657947,0.052662694926750,0.071989592303491,0.045704418875437,0.032082241434138
81,MCMC,Gibbs,/,27936383162.937740325927734,18029,0,1.374589347000000,1.370842675000000,0.755245674577987,0.047912398203749,0.436624557288181,0.248670433394360,0.000044171363124,0.031574383628173,0.014139747814330,0.047564692423246,0.052662694926750,0.071993964976894,0.045706013624284,0.032085327216779
81,MCMC,Gibbs,/,27936364901.275310516357422,18059,0,1.376683165000000,1.372936462000000,0.755242424114472,0.047909410080405,0.436624557288181,0.248669510642920,0.000044171363124,0.031581087316229,0.014142070769324,0.047566910020604,0.052665565795529,0.071999799603148,0.045707422150019,0.032090432875050
81,MCMC,Gibbs,/,27936346294.687408447265625,18089,0,1.378808501000000,1.375046430000000,0.755233389716329,0.047908082054574,0.436625650622345,0.248665977753173,0.000044171363124,0.031587564475428,0.014146185407953,0.047570215642551,0.052672248312186,0.071999689503716,0.045712135386858,0.032094508496818
81,MCMC,Gibbs,/,27936344935.309291839599609,18119,0,1.380928858000000,1.377166536000000,0.755227580311648,0.047904989166680,0.436629409130937,0.248665977753173,0.000044171416945,0.031587564475428,0.014147991882218,0.047570215642551,0.052673341572647,0.072007053694023,0.045715273723439,0.032094768458643
81,MCMC,Gibbs,/,27936340199.757938385009766,18149,0,1.383352173000000,1.379595932000000,0.755223254019364,0.047903890388358,0.436639048336736,0.248663536494574,0.000044171416945,0.031588888785753,0.014147991882218,0.047570215642551,0.052674354051360,0.072007650325724,0.045715273723439,0.032101974441463
81,MCMC,Gibbs,/,27936319101.739913940429688,18179,0,1.386700257000000,1.382967821000000,0.755223254019364,0.047884603342802,0.436643032627871,0.248661613669064,0.000044172004627,0.031595960480120,0.014150524249414,0.047574420478933,0.052674354051360,0.072012471471764,0.045717583974760,0.032103852185579
81,MCMC,Gibbs,/,27936306538.212127685546875,18209,0,1.389477233000000,1.385874189000000,0.755223254019364,0.047878951983079,0.436645606711302,0.248661613669064,0.000044172064542,0.031600534459421,0.014151292493724,0.047574420478933,0.052675541941937,0.072016598439186,0.045717583974760,0.032106823325292
81,MCMC,Gibbs,/,27936305687.918449401855469,18239,0,1.391941414000000,1.388179152000000,0.755218429048450,0.047878951983079,0.436645606711302,0.248660710165464,0.000044172064542,0.031600534459421,0.014151883677247,0.047577632150375,0.052690201871016,0.072017159223743,0.045717583974760,0.032110654406595
81,MCMC,Gibbs,/,27936297962.802124023437500,18269,0,1.394044509000000,1.390282197000000,0.755211243560970,0.047876479624752,0.436645606711302,0.248659263859388,0.000044172402310,0.031602667521106,0.014159954502071,0.047580969849290,0.052690426220456,0.072021451731335,0.045723008981039,0.032115058434939
81,MCMC,Gibbs,/,27936293945.212055206298828,18299,0,1.396128498000000,1.392366186000000,0.755207688055282,0.047873206862928,0.436645606711302,0.248656547579769,0.000044174142709,0.031602831579203,0.014159954502071,0.047583093433441,0.052695825585939,0.072025769443556,0.045725208538273,0.032117175876822
