NbCI,Method,Parametre_method_1,Parametre_method_2,fct_obj,nbr_evaluation,nbr_evaluation_aborted,temps,temps_CPU,delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0,delta_1,gamma_1,eps_1,r_1,x0_infect_1,beta0_1,beta1_1,beta2_1,beta3_1,beta4_1,beta5_1,beta6_1
80,MCMC,Gibbs,/,6902798.469563731923699,329,0,0.053681341000000,0.053466280000000,0.875603942298178,0.077473770617855,0.392293962987713,0.332788222686374,0.000246871700429,0.013635463767234,0.022918737579833,0.051200839481209,0.037958007866440,0.023842381994373,0.039347190706547,0.060061151468119,0.529216020222054,0.228385135976012,0.742180217348806,0.242536997024451,0.000123759958258,0.067229631157578,0.042151803478318,0.041049433161814,0.007541863675890,0.015575906969286,0.004844320257918,0.007744490639543
80,MCMC,Gibbs,/,6902651.515044998377562,359,0,0.058812812000000,0.058590227000000,0.875602385470590,0.077473770617855,0.392293986227352,0.332790395314502,0.000246870785084,0.013635463767234,0.022918737579833,0.051200839481209,0.037958402964299,0.023843887753386,0.039349675265778,0.060062669880608,0.529212141486018,0.228384908310362,0.742180217348806,0.242536997024451,0.000123759958258,0.067229986447663,0.042153070238352,0.041049554738858,0.007545140788169,0.015575906969286,0.004847675670982,0.007752250976953
80,MCMC,Gibbs,/,6902455.547345208004117,389,0,0.063298154000000,0.063074608000000,0.875602385470590,0.077467785868210,0.392293986227352,0.332790393678477,0.000246870732928,0.013638647917929,0.022918737579833,0.051203479086957,0.037958402964299,0.023843887753386,0.039352819640062,0.060062608929486,0.529212141486018,0.228379843630209,0.742179777911726,0.242544330904584,0.000123760502194,0.067234746408662,0.042153070238352,0.041051121885620,0.007548640463618,0.015577187262195,0.004847675670982,0.007752250976953
80,MCMC,Gibbs,/,6902277.909596214070916,419,0,0.068392917000000,0.068173378000000,0.875602385470590,0.077464455372810,0.392298723865219,0.332790393678477,0.000246871115804,0.013642829435706,0.022921940287118,0.051203479086957,0.037958402964299,0.023843887753386,0.039352819640062,0.060070489437986,0.529211861879956,0.228379843630209,0.742184681032142,0.242541166205726,0.000123760502194,0.067237320183670,0.042153070238352,0.041051121885620,0.007548640463618,0.015581840845828,0.004847675670982,0.007754757120622
80,MCMC,Gibbs,/,6902046.193562746047974,449,0,0.073234827000000,0.073012873000000,0.875602079661587,0.077463170630745,0.392298723865219,0.332789711971756,0.000246872436964,0.013644146812810,0.022929365412820,0.051207651083248,0.037958402964299,0.023843887753386,0.039352616336616,0.060070489437986,0.529211861879956,0.228376438880007,0.742184681032142,0.242543330655092,0.000123759856502,0.067237320183670,0.042153070238352,0.041049854485682,0.007550487546771,0.015586137185060,0.004847675670982,0.007754757120622
80,MCMC,Gibbs,/,6901901.731574086472392,479,0,0.077688209000000,0.077465104000000,0.875601917309241,0.077463170630745,0.392298723865219,0.332786731717632,0.000246870703023,0.013647701577643,0.022929365412820,0.051207651083248,0.037960413238793,0.023843887753386,0.039352616336616,0.060070489437986,0.529211213305947,0.228372596087364,0.742183117301166,0.242536850902076,0.000123760247660,0.067237551818601,0.042155536042408,0.041049854485682,0.007550487546771,0.015586304479716,0.004850171623427,0.007756651272870
80,MCMC,Gibbs,/,6901798.637999749742448,509,0,0.082269792000000,0.082047999000000,0.875601917309241,0.077461664032680,0.392292444723428,0.332786731717632,0.000246869526890,0.013647701577643,0.022929365412820,0.051212386312883,0.037962032198155,0.023843887753386,0.039352616336616,0.060074659396216,0.529209768554163,0.228372596087364,0.742182589426031,0.242530593131679,0.000123760247660,0.067238134168666,0.042155536042408,0.041049854485682,0.007558542143601,0.015586304479716,0.004854049684403,0.007756651272870
80,MCMC,Gibbs,/,6901731.241491772234440,539,0,0.087149231000000,0.086927909000000,0.875601917309241,0.077458746792870,0.392295391424869,0.332786931586541,0.000246870573688,0.013648348072434,0.022929957969055,0.051212386312883,0.037962032198155,0.023843887753386,0.039352616336616,0.060075470724016,0.529209768554163,0.228372596087364,0.742178662865510,0.242532007940740,0.000123760247660,0.067238134168666,0.042155878601793,0.041051264228523,0.007558542143601,0.015586304479716,0.004859815441825,0.007757076527842
80,MCMC,Gibbs,/,6901355.054133214056492,569,0,0.091870906000000,0.091655705000000,0.875597315316318,0.077458746792870,0.392297272290978,0.332790180089650,0.000246869900388,0.013649297029863,0.022944179407015,0.051213895850065,0.037962032198155,0.023843887753386,0.039352616336616,0.060075470724016,0.529202296854098,0.228372596087364,0.742178662865510,0.242529905273105,0.000123759132712,0.067238134168666,0.042155878601793,0.041051264228523,0.007558542143601,0.015586304479716,0.004860363419768,0.007757076527842
80,MCMC,Gibbs,/,6901135.914744870737195,599,0,0.096649086000000,0.096426552000000,0.875597315316318,0.077455275706749,0.392297272290978,0.332787368073729,0.000246869402093,0.013649297029863,0.022948794462608,0.051213895850065,0.037966278549842,0.023843887753386,0.039355493131127,0.060075470724016,0.529198986407782,0.228370426911415,0.742179661071387,0.242529028917874,0.000123758578151,0.067239154903460,0.042155878601793,0.041054998940906,0.007558542143601,0.015586304479716,0.004861735449492,0.007757076527842
80,MCMC,Gibbs,/,6900958.669341303408146,629,0,0.101455419000000,0.101233386000000,0.875594677952396,0.077455275706749,0.392290993034607,0.332787368073729,0.000246869402093,0.013650770742413,0.022948794462608,0.051213895850065,0.037967532873684,0.023844773805981,0.039355493131127,0.060075470724016,0.529195837287447,0.228370426911415,0.742175736164685,0.242530269492732,0.000123758578151,0.067246154809507,0.042163805546483,0.041056544754227,0.007558542143601,0.015586304479716,0.004863877894957,0.007757076527842
