NbCI,NB_Classe,Method,Parametre_method_1,Parametre_method_2,fct_obj,nbr_evaluation,nbr_evaluation_aborted,temps,temps_CPU,delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0
1,1,MCMC,Metropolis,/,344588.125309932976961,2719999,0,227.584067253000001,227.145821901999994,0.602959392444713,0.068513656093681,0.614398428926269,0.193672059199112,0.000138382627618,0.060111726348223,0.037853474858842,0.038746089365213,0.060634700055717,0.047327380785323,0.055741079882134,0.047854999814874
1,1,MCMC,Metropolis,/,343434.134235944831744,2879999,0,240.961391373000026,240.522338136999991,0.602886724520787,0.069041449763358,0.614559513256009,0.193131847056403,0.000138400703823,0.060130823344740,0.037911882358146,0.038850604661325,0.060659977540145,0.047381491146358,0.055590921082972,0.048024890475571
1,1,MCMC,Metropolis,/,342258.505219810642302,3039999,0,254.278115423000003,253.836185312999987,0.602784677288498,0.069598799058328,0.614737662522608,0.192568036337386,0.000138403839038,0.060156230413412,0.037939957818940,0.038976934470289,0.060602275275268,0.047493254640156,0.055538631185414,0.048071702294841
1,1,MCMC,Metropolis,/,341239.708314113086089,3199999,0,267.624492976999989,267.180794612999989,0.602726383988117,0.070096441819655,0.614875654502394,0.192082670507151,0.000138394958541,0.060178505279053,0.037982712391626,0.039073175488366,0.060564288150609,0.047568133385492,0.055458123805589,0.048113530106799
1,1,MCMC,Metropolis,/,340121.618371800577734,3359999,0,280.926145566999992,280.474877543999980,0.602599973031833,0.070662047984374,0.615016230534643,0.191583010343356,0.000138400438566,0.060199460024736,0.038028719348526,0.039206169939972,0.060542196736526,0.047623447404106,0.055374359308583,0.048253989030889
1,1,MCMC,Metropolis,/,339050.450208609807305,3519999,0,294.455859759000020,294.002061762999972,0.602559454834438,0.071169187666444,0.615175517590439,0.191034045254522,0.000138398422468,0.060218005273068,0.038098238244675,0.039257687564308,0.060551193946278,0.047700579625710,0.055338286234400,0.048287909062574
1,1,MCMC,Metropolis,/,337974.861775449302513,3679999,0,307.867412086999991,307.399737073999972,0.602493278805511,0.071715910035137,0.615346661782076,0.190528436899382,0.000138397592649,0.060246783029920,0.038121738929916,0.039317031044808,0.060567100305945,0.047787254127741,0.055290381996381,0.048341793556251
1,1,MCMC,Metropolis,/,337022.774270861002151,3839999,0,321.403059513000017,320.929839737999998,0.602451011042064,0.072138013957215,0.615539723488464,0.190037044969228,0.000138392987199,0.060269501597471,0.038138268241903,0.039439874623216,0.060604913492932,0.047837782671083,0.055216581202804,0.048476235020326
1,1,MCMC,Metropolis,/,336040.466023078653961,3999999,0,334.595912450000014,334.121640669999977,0.602424968386442,0.072649265861091,0.615692198453898,0.189568211331289,0.000138397568101,0.060294160865193,0.038185418489734,0.039467462304003,0.060564815084036,0.047920561333519,0.055208305730149,0.048495290303659
1,1,MCMC,Metropolis,/,335073.723504877649248,4159999,0,347.802049604000047,347.323171076999984,0.602354075662934,0.073160986357568,0.615863026911110,0.189125598627499,0.000138385766987,0.060318775666736,0.038218572675903,0.039564560935848,0.060475978331260,0.047969940030663,0.055247051119989,0.048512051594221
1,1,MCMC,Metropolis,/,334061.295384136552457,4319999,0,360.992477473999998,360.503792142000009,0.602353009195119,0.073661052618908,0.615994834270181,0.188618095527249,0.000138400930999,0.060347724914380,0.038246779989530,0.039695155983381,0.060477933312120,0.048063267744461,0.055186683738823,0.048556648307836
1,1,MCMC,Metropolis,/,332950.074098351877183,4479999,0,374.201099195000040,373.708569190999981,0.602282394441402,0.074243391405137,0.616185844456357,0.188095448406276,0.000138414728715,0.060367530462986,0.038325011400428,0.039749922005141,0.060479039121703,0.048140257213237,0.055117091123893,0.048616344648065
1,1,MCMC,Metropolis,/,331932.271242885035463,4639999,0,387.531831672999999,387.034229536999987,0.602210389544817,0.074732257240672,0.616310716671719,0.187574076654597,0.000138400519727,0.060392839865736,0.038344124010149,0.039835990735827,0.060362170658545,0.048298412482452,0.055084308677059,0.048633492765683
1,1,MCMC,Metropolis,/,330897.149627717095427,4799999,0,400.865398160000041,400.367391592999979,0.602186267745885,0.075236928126592,0.616451010803653,0.187031479618558,0.000138418499830,0.060424968997921,0.038347397638283,0.039889657114806,0.060304281151772,0.048430663931111,0.055064347204073,0.048676900294849
1,1,MCMC,Metropolis,/,329994.953776415321045,4959999,0,414.206140500000004,413.707831235000015,0.602145237396475,0.075663256832441,0.616624859659319,0.186550154097839,0.000138421559909,0.060444696762089,0.038380630172570,0.039956244434928,0.060311003283398,0.048460987495440,0.055047137410194,0.048726893392073
1,1,MCMC,Metropolis,/,329036.763522542081773,5119999,0,427.589211026000044,427.090672951999977,0.602074518632216,0.076106217240819,0.616762427106214,0.186021167076281,0.000138431624898,0.060462291789401,0.038417318749300,0.040079163776556,0.060247441810511,0.048488133396077,0.055119558463240,0.048753917143808
1,1,MCMC,Metropolis,/,328077.270471288706176,5279999,0,441.000165228000014,440.499424051000005,0.602034552839384,0.076620641860024,0.616926281315404,0.185562973702571,0.000138420295426,0.060493786655705,0.038428562738259,0.040161078877655,0.060247467636699,0.048549333544211,0.055132989959300,0.048811286330448
1,1,MCMC,Metropolis,/,327083.203039020881988,5439999,0,454.307204679000051,453.801672470000028,0.601985525525218,0.077159244771182,0.617044882273986,0.185069516876763,0.000138427463567,0.060521802233169,0.038459513882633,0.040245775380464,0.060202235355957,0.048593412110661,0.055199198545584,0.048792476206106
1,1,MCMC,Metropolis,/,326128.422376477974467,5599999,0,467.722305627000026,467.216340526000010,0.601985989767272,0.077592034034255,0.617270070372761,0.184550698629829,0.000138446655431,0.060539917630631,0.038516032408736,0.040305336784652,0.060133269361066,0.048690955596099,0.055117470442093,0.048842575329019
1,1,MCMC,Metropolis,/,325140.249226835090667,5759999,0,481.116036624000003,480.605717790000028,0.601898693412336,0.078089901186821,0.617431361794580,0.184031181243347,0.000138459205819,0.060559413245125,0.038557380346533,0.040349889025619,0.060167456081685,0.048741815405753,0.055147782349932,0.048855500492374
1,1,MCMC,Metropolis,/,324100.753379395697266,5919999,0,494.429516701000011,493.917299103999994,0.601845126164050,0.078621560817507,0.617576920191787,0.183496068914824,0.000138472032503,0.060583435620633,0.038601980649027,0.040510749594157,0.060121686875254,0.048781933638845,0.055111620106936,0.048867562770281
1,1,MCMC,Metropolis,/,323186.098626146442257,6079999,0,507.900016594000022,507.387292550999973,0.601740243149225,0.079096573028548,0.617716636875602,0.183042338463298,0.000138465218521,0.060603353788242,0.038630699975354,0.040619912253926,0.060116266279405,0.048812088698043,0.055090858363450,0.048940393714795
